249 0 0 0 0 1 0 0 1 0 0 2 0 3 3 24 2 3 4 26
0 286 13 14 9 22 4 1 1 0 1 11 8 6 10 1 2 0 0 0
1 33 204 57 19 21 4 2 3 0 0 12 5 10 8 3 1 0 5 3
0 11 30 277 20 1 10 2 1 0 1 4 32 1 2 0 0 0 0 0
0 17 13 30 269 1 11 2 2 0 0 3 21 8 4 0 1 0 1 0
0 54 16 6 3 285 1 1 3 0 0 5 3 6 4 0 1 1 1 0
0 7 5 32 16 1 270 17 8 1 2 0 7 4 6 0 2 1 2 1
0 3 1 2 0 0 14 331 17 0 0 1 14 0 3 2 0 0 6 1
0 1 0 1 0 0 2 27 360 0 0 0 3 1 0 0 1 1 0 0
0 0 0 1 1 0 2 1 2 352 17 0 1 3 3 5 2 1 5 1
2 0 1 0 0 0 2 1 2 4 383 0 0 0 0 1 2 0 1 0
0 3 0 3 4 1 0 0 0 1 1 362 2 2 2 0 9 0 5 0
3 20 4 25 7 4 8 10 6 0 0 21 264 10 7 1 3 0 0 0
5 7 0 3 0 0 3 6 5 1 0 1 9 318 8 7 6 5 7 2
0 8 0 1 0 3 1 0 1 0 1 4 6 5 343 3 2 1 12 1
11 2 0 0 0 2 1 0 0 0 0 0 0 2 0 362 0 1 2 15
1 1 0 0 0 1 1 2 1 1 0 4 0 5 2 1 303 5 23 13
12 1 0 1 0 0 1 2 0 2 0 2 1 0 0 6 3 326 18 1
6 1 0 0 1 1 0 0 0 0 0 5 1 10 6 2 62 6 196 13
39 3 0 0 0 0 0 0 1 1 0 1 0 2 6 27 10 3 7 151
